date,1-year-treasury-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,capacity-utilization-rate-historical-chart_monthly_value,debt-to-gdp-ratio-historical-chart_monthly_value,fed-funds-rate-historical-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,industrial-production-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,retail-sales-historical-chart_monthly_value,united-states-economic-growth-rate_quarterly_expanded_value,us-national-unemployment-rate_monthly_value
2003-08,1.3085714285714285,4.4452380952380945,6.32,,3.3699999999999997,75.771,58.645,1.0290322580645161,1.88,90.845,9.25,166834.0,6.79,6.1
2003-09,1.2376190476190476,4.274285714285715,5.98,,3.1847619047619045,76.285,58.645,1.01,1.88,91.445,9.25,165280.0,6.79,6.1
2003-10,1.2540909090909091,4.290454545454545,5.94,,3.185909090909091,76.394,59.445,1.01,1.88,91.56,9.25,164851.0,4.59,6.0
2003-11,1.3366666666666667,4.300000000000001,5.89,,3.2872222222222223,76.922,59.445,0.996,1.88,92.176,9.25,166771.0,4.59,5.8
2003-12,1.305909090909091,4.267727272727273,5.85,,3.2686363636363636,76.998,59.445,0.9841935483870967,1.88,92.253,9.25,165718.0,4.59,5.7
2004-01,1.2395,4.1505,5.68,,3.1215,77.139,59.807,0.9970967741935484,3.26,92.407,8.55,165998.0,2.13,5.7
2004-02,1.2436842105263157,4.084210526315789,5.58,,3.067894736842105,77.621,59.807,1.007241379310345,3.26,92.969,8.55,166788.0,2.13,5.6
2004-03,1.1873913043478261,3.826521739130435,5.4,,2.78695652173913,77.328,59.807,1.0016129032258065,3.26,92.6,8.55,169381.0,2.13,5.8
2004-04,1.4338095238095239,4.347619047619047,6.01,,3.38952380952381,77.657,60.055,1.004,3.26,92.976,8.55,167296.0,3.05,5.6
2004-05,1.7775000000000003,4.7155000000000005,6.32,,3.8505000000000003,78.228,60.055,1.0045161290322582,3.26,93.645,8.55,169481.0,3.05,5.6
2004-06,2.1152380952380954,4.733809523809524,6.25,,3.929047619047619,77.642,60.055,1.0256666666666667,3.26,92.93,8.55,166733.0,3.05,5.6
2004-07,2.0952380952380953,4.498095238095239,6.08,,3.688571428571428,78.216,59.966,1.2635483870967743,3.26,93.611,8.55,168455.0,3.78,5.5
2004-08,2.015909090909091,4.281363636363636,5.82,,3.4745454545454546,78.287,59.966,1.4293548387096775,3.26,93.696,8.55,168592.0,3.78,5.4
2004-09,2.1166666666666667,4.1257142857142854,5.72,,3.355238095238095,78.362,59.966,1.605,3.26,93.796,8.55,171006.0,3.78,5.4
2004-10,2.228,4.0969999999999995,5.64,,3.3475,79.033,60.637,1.7609677419354839,3.26,94.623,8.55,171247.0,4.01,5.5
2004-11,2.5,4.194,5.72,,3.525,79.192,60.637,1.932,3.26,94.849,8.55,171015.0,4.01,5.4
2004-12,2.6704545454545454,4.2309090909090905,5.81,,3.598181818181818,79.763,60.637,2.1561290322580646,3.26,95.584,8.55,173122.0,4.01,5.4
2005-01,2.8605,4.221500000000001,5.66,,3.707,79.998,60.913,2.2793548387096774,3.42,95.929,7.56,171553.0,4.43,5.3
2005-02,3.0294736842105263,4.165263157894737,5.69,,3.7663157894736843,80.514,60.913,2.501785714285714,3.42,96.629,7.56,173090.0,4.43,5.4
2005-03,3.3022727272727277,4.497727272727273,6.04,,4.165454545454545,80.319,60.913,2.629032258064516,3.42,96.491,7.56,172750.0,4.43,5.2
2005-04,3.316666666666667,4.3409523809523805,5.78,,3.9985714285714287,80.39,60.642,2.7849999999999997,3.42,96.681,7.56,173765.0,1.85,5.2
2005-05,3.330952380952381,4.144285714285714,5.65,,3.8528571428571428,80.387,60.642,3.00258064516129,3.42,96.793,7.56,172790.0,1.85,5.1
2005-06,3.363181818181818,3.998181818181818,5.53,,3.772272727272727,80.613,60.642,3.0356666666666663,3.42,97.19,7.56,177593.0,1.85,5.0
2005-07,3.6409999999999996,4.1775,5.77,,3.979,80.263,60.359,3.2625806451612904,3.42,96.898,7.56,177822.0,3.57,5.0
2005-08,3.8721739130434782,4.262608695652174,5.77,,4.122173913043478,80.42,60.359,3.4996774193548386,3.42,97.222,7.56,175067.0,3.57,4.9
