date,fed-funds-rate-historical-chart_monthly_value,1-year-treasury-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,debt-to-gdp-ratio-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,capacity-utilization-rate-historical-chart_monthly_value,industrial-production-historical-chart_monthly_value,retail-sales-historical-chart_monthly_value,us-national-unemployment-rate_monthly_value,united-states-population-2023-09-10,united-states-economic-growth-rate_quarterly_expanded_value
1-Nov,2.087,2.182,3.9725,4.6515,5.118,7.02,1.55,55.752,4.97,73.754,87.963,161753,5.5,1.09,1.09
1-Dec,1.817741935,2.2155,4.3895,5.0875,5.48,7.16,1.55,55.752,4.97,73.595,87.933,159924,5.7,1.09,1.09
2-Jan,1.729677419,2.158571429,4.34,5.035714286,5.445238095,6.96,2.38,55.697,7.78,73.986,88.545,159543,5.7,1.01,3.5
2-Feb,1.739642857,2.232631579,4.298421053,4.911578947,5.400909091,6.81,2.38,55.697,7.78,73.874,88.536,160143,5.7,1.01,3.5
2-Mar,1.73,2.567,4.738,5.284,,7.18,2.38,55.697,7.78,74.346,89.21,159250,5.7,1.01,3.5
2-Apr,1.753,2.475909091,4.646818182,5.210909091,,6.88,2.38,56.271,7.78,74.631,89.639,161089,5.9,1.01,2.42
2-May,1.751290323,2.354090909,4.494545455,5.164545455,,6.76,2.38,56.271,7.78,74.897,90.027,158747,5.8,1.01,2.42
2-Jun,1.750333333,2.1965,4.186,4.9265,,6.55,2.38,56.271,7.78,75.469,90.765,160007,5.8,1.01,2.42
2-Jul,1.729032258,1.960909091,3.807272727,4.653181818,,6.34,2.38,56.703,7.78,75.426,90.744,161325,5.8,1.01,1.78
2-Aug,1.743225806,1.757272727,3.294545455,4.257272727,,6.22,2.38,56.703,7.78,75.318,90.627,162133,5.7,1.01,1.78
2-Sep,1.750666667,1.715,2.938,3.87,,5.99,2.38,56.703,7.78,75.399,90.724,159519,5.7,1.01,1.78
2-Oct,1.75483871,1.65,2.945,3.940909091,,6.31,2.38,57.91,7.78,75.212,90.488,159810,5.7,1.01,0.62
2-Nov,1.336,1.491578947,3.054736842,4.048421053,,6.13,2.38,57.91,7.78,75.643,90.982,160597,5.9,1.01,0.62
2-Dec,1.238387097,1.45,3.033333333,4.032380952,,5.93,2.38,57.91,7.78,75.262,90.492,161687,6,1.01,0.62
3-Jan,1.23516129,1.364285714,3.052380952,4.048571429,,5.9,1.88,57.819,9.25,75.915,91.24,161691,5.8,0.96,2.22
3-Feb,1.262142857,1.296315789,2.897894737,3.902631579,,5.79,1.88,57.819,9.25,76.026,91.338,158588,5.9,0.96,2.22
3-Mar,1.252903226,1.24,2.783809524,3.807142857,,5.91,1.88,57.819,9.25,75.83,91.069,161134,5.9,0.96,2.22
3-Apr,1.258,1.267142857,2.928571429,3.958571429,,5.79,1.88,58.961,9.25,75.38,90.491,161354,6,0.96,3.44
3-May,1.259032258,1.181428571,2.515714286,3.569047619,,5.31,1.88,58.961,9.25,75.393,90.47,162061,6.1,0.96,3.44
3-Jun,1.222666667,1.00952381,2.265714286,3.334285714,,5.24,1.88,58.961,9.25,75.521,90.59,163641,6.3,0.96,3.44
3-Jul,1.011290323,1.116363636,2.872272727,3.975454545,,5.94,1.88,58.645,9.25,75.935,91.061,164805,6.2,0.96,6.79
3-Aug,1.029032258,1.308571429,3.37,4.445238095,,6.32,1.88,58.645,9.25,75.771,90.845,166834,6.1,0.96,6.79
3-Sep,1.01,1.237619048,3.184761905,4.274285714,,5.98,1.88,58.645,9.25,76.285,91.445,165280,6.1,0.96,6.79
3-Oct,1.01,1.254090909,3.185909091,4.290454545,,5.94,1.88,59.445,9.25,76.394,91.56,164851,6,0.96,4.59
3-Nov,0.996,1.336666667,3.287222222,4.3,,5.89,1.88,59.445,9.25,76.922,92.176,166771,5.8,0.96,4.59
3-Dec,0.984193548,1.305909091,3.268636364,4.267727273,,5.85,1.88,59.445,9.25,76.998,92.253,165718,5.7,0.96,4.59
4-Jan,0.997096774,1.2395,3.1215,4.1505,,5.68,3.26,59.807,8.55,77.139,92.407,165998,5.7,0.97,2.13
4-Feb,1.007241379,1.243684211,3.067894737,4.084210526,,5.58,3.26,59.807,8.55,77.621,92.969,166788,5.6,0.97,2.13
4-Mar,1.001612903,1.187391304,2.786956522,3.826521739,,5.4,3.26,59.807,8.55,77.328,92.6,169381,5.8,0.97,2.13
4-Apr,1.004,1.433809524,3.38952381,4.347619048,,6.01,3.26,60.055,8.55,77.657,92.976,167296,5.6,0.97,3.05
4-May,1.004516129,1.7775,3.8505,4.7155,,6.32,3.26,60.055,8.55,78.228,93.645,169481,5.6,0.97,3.05
4-Jun,1.025666667,2.115238095,3.929047619,4.733809524,,6.25,3.26,60.055,8.55,77.642,92.93,166733,5.6,0.97,3.05
